Czas_Rejestracji;Liczba_Wolnych_Miejsc;Liczba_Poj_Wjezdzajacych;Liczba_Poj_Wyjezdzajacych;Nazwa
2017-06-06 00:00:00.043;275;0;0;Nowy Targ
2017-06-06 00:00:01.403;97;0;0;ul. œw. Antoniego
2017-06-06 00:00:01.807;786;0;0;Parking Hala Stulecia
2017-06-06 00:03:51.000;599;0;1;Narodowe Forum Muzyki
2017-06-06 00:05:00.010;275;0;0;Nowy Targ
2017-06-06 00:05:01.437;786;0;0;Parking Hala Stulecia
2017-06-06 00:05:01.513;97;0;0;ul. œw. Antoniego
2017-06-06 00:06:32.597;604;0;0;Renoma
2017-06-06 00:08:51.000;599;0;0;Narodowe Forum Muzyki
2017-06-06 00:10:00.030;275;0;0;Nowy Targ
2017-06-06 00:10:01.443;97;0;0;ul. œw. Antoniego
2017-06-06 00:10:02.183;786;0;0;Parking Hala Stulecia
2017-06-06 00:15:00.010;275;0;0;Nowy Targ
2017-06-06 00:15:01.163;97;0;0;ul. œw. Antoniego
2017-06-06 00:15:01.543;786;0;0;Parking Hala Stulecia
2017-06-06 00:16:32.590;566;0;0;Renoma
2017-06-06 00:20:00.043;276;0;1;Nowy Targ
2017-06-06 00:20:01.287;97;0;0;ul. œw. Antoniego
2017-06-06 00:20:01.963;786;0;0;Parking Hala Stulecia
2017-06-06 00:23:51.000;605;0;0;Narodowe Forum Muzyki
2017-06-06 00:25:00.013;276;0;0;Nowy Targ
2017-06-06 00:25:01.483;786;0;0;Parking Hala Stulecia
2017-06-06 00:25:02.080;97;0;0;ul. œw. Antoniego
2017-06-06 00:26:32.423;552;0;0;Renoma
2017-06-06 00:28:51.000;605;0;0;Narodowe Forum Muzyki
2017-06-06 00:30:00.047;276;0;0;Nowy Targ
2017-06-06 00:30:01.317;786;0;0;Parking Hala Stulecia
2017-06-06 00:30:01.583;99;0;1;ul. œw. Antoniego
2017-06-06 00:33:51.000;605;0;0;Narodowe Forum Muzyki
2017-06-06 00:35:00.010;277;0;1;Nowy Targ
2017-06-06 00:35:01.837;99;0;0;ul. œw. Antoniego
2017-06-06 00:35:02.047;786;0;0;Parking Hala Stulecia
2017-06-06 00:36:32.410;598;0;0;Renoma
2017-06-06 00:38:51.000;605;0;0;Narodowe Forum Muzyki
2017-06-06 00:40:00.043;277;0;0;Nowy Targ
2017-06-06 00:40:01.727;99;0;0;ul. œw. Antoniego
2017-06-06 00:40:02.120;786;0;0;Parking Hala Stulecia
2017-06-06 00:43:51.000;605;0;0;Narodowe Forum Muzyki
2017-06-06 00:45:00.010;277;0;0;Nowy Targ
2017-06-06 00:45:01.603;101;0;1;ul. œw. Antoniego
2017-06-06 00:45:01.913;786;0;0;Parking Hala Stulecia
2017-06-06 00:46:32.517;541;0;0;Renoma
2017-06-06 00:48:51.000;605;0;0;Narodowe Forum Muzyki
2017-06-06 00:50:00.030;277;0;0;Nowy Targ
2017-06-06 00:50:01.533;786;0;0;Parking Hala Stulecia
2017-06-06 00:50:01.727;101;0;0;ul. œw. Antoniego
2017-06-06 00:53:51.000;606;0;1;Narodowe Forum Muzyki
2017-06-06 00:55:00.010;277;0;0;Nowy Targ
2017-06-06 00:55:01.473;101;0;0;ul. œw. Antoniego
2017-06-06 00:55:02.190;786;0;0;Parking Hala Stulecia
2017-06-06 00:56:32.407;557;0;0;Renoma
2017-06-06 00:58:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:00:00.023;277;0;0;Nowy Targ
2017-06-06 01:00:01.397;101;0;0;ul. œw. Antoniego
2017-06-06 01:00:01.783;786;0;0;Parking Hala Stulecia
2017-06-06 01:03:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:05:00.010;277;0;0;Nowy Targ
2017-06-06 01:05:01.713;101;0;0;ul. œw. Antoniego
2017-06-06 01:05:01.770;786;0;0;Parking Hala Stulecia
2017-06-06 01:06:32.373;599;0;0;Renoma
2017-06-06 01:10:00.040;277;0;0;Nowy Targ
2017-06-06 01:10:01.493;786;0;0;Parking Hala Stulecia
2017-06-06 01:10:01.807;101;0;0;ul. œw. Antoniego
2017-06-06 01:15:00.010;277;0;0;Nowy Targ
2017-06-06 01:15:01.227;102;0;1;ul. œw. Antoniego
2017-06-06 01:15:02.133;786;0;0;Parking Hala Stulecia
2017-06-06 01:16:32.497;546;0;0;Renoma
2017-06-06 01:20:00.143;277;0;0;Nowy Targ
2017-06-06 01:20:01.397;786;0;0;Parking Hala Stulecia
2017-06-06 01:20:01.717;102;0;0;ul. œw. Antoniego
2017-06-06 01:23:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:25:00.010;277;0;0;Nowy Targ
2017-06-06 01:25:01.217;786;0;0;Parking Hala Stulecia
2017-06-06 01:25:01.533;102;0;0;ul. œw. Antoniego
2017-06-06 01:26:32.373;577;0;0;Renoma
2017-06-06 01:28:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:30:00.043;277;0;0;Nowy Targ
2017-06-06 01:30:01.510;102;0;0;ul. œw. Antoniego
2017-06-06 01:30:01.927;786;0;0;Parking Hala Stulecia
2017-06-06 01:33:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:35:00.010;277;0;0;Nowy Targ
2017-06-06 01:35:01.807;102;0;0;ul. œw. Antoniego
2017-06-06 01:35:01.817;786;0;0;Parking Hala Stulecia
2017-06-06 01:36:32.457;605;0;0;Renoma
2017-06-06 01:38:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:40:00.043;277;0;0;Nowy Targ
2017-06-06 01:40:01.380;102;0;0;ul. œw. Antoniego
2017-06-06 01:40:02.057;786;0;0;Parking Hala Stulecia
2017-06-06 01:43:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:45:00.010;277;0;0;Nowy Targ
2017-06-06 01:45:01.250;102;0;0;ul. œw. Antoniego
2017-06-06 01:45:01.843;786;0;0;Parking Hala Stulecia
2017-06-06 01:46:32.517;593;0;0;Renoma
2017-06-06 01:48:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:50:00.047;277;0;0;Nowy Targ
2017-06-06 01:50:01.270;102;0;0;ul. œw. Antoniego
2017-06-06 01:50:02.070;786;0;0;Parking Hala Stulecia
2017-06-06 01:53:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 01:55:00.010;277;0;0;Nowy Targ
2017-06-06 01:55:01.150;102;0;0;ul. œw. Antoniego
2017-06-06 01:55:01.930;786;0;0;Parking Hala Stulecia
2017-06-06 01:58:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:00:00.043;277;0;0;Nowy Targ
2017-06-06 02:00:01.207;786;0;0;Parking Hala Stulecia
2017-06-06 02:00:01.743;102;0;0;ul. œw. Antoniego
2017-06-06 02:03:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:05:00.013;277;0;0;Nowy Targ
2017-06-06 02:05:01.650;102;0;0;ul. œw. Antoniego
2017-06-06 02:05:01.863;786;0;0;Parking Hala Stulecia
2017-06-06 02:06:32.417;589;0;0;Renoma
2017-06-06 02:08:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:10:00.043;277;0;0;Nowy Targ
2017-06-06 02:10:01.653;786;0;0;Parking Hala Stulecia
2017-06-06 02:10:01.727;102;0;0;ul. œw. Antoniego
2017-06-06 02:13:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:15:00.010;277;0;0;Nowy Targ
2017-06-06 02:15:01.777;102;0;0;ul. œw. Antoniego
2017-06-06 02:15:01.927;786;0;0;Parking Hala Stulecia
2017-06-06 02:18:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:20:00.040;277;0;0;Nowy Targ
2017-06-06 02:20:01.373;786;0;0;Parking Hala Stulecia
2017-06-06 02:20:02.137;102;0;0;ul. œw. Antoniego
2017-06-06 02:23:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:25:00.010;277;0;0;Nowy Targ
2017-06-06 02:25:01.817;786;0;0;Parking Hala Stulecia
2017-06-06 02:25:02.043;102;0;0;ul. œw. Antoniego
2017-06-06 02:26:32.527;584;0;0;Renoma
2017-06-06 02:28:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:30:00.030;277;0;0;Nowy Targ
2017-06-06 02:30:01.250;786;0;0;Parking Hala Stulecia
2017-06-06 02:30:02.113;102;0;0;ul. œw. Antoniego
2017-06-06 02:33:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:35:00.010;277;0;0;Nowy Targ
2017-06-06 02:35:01.483;786;0;0;Parking Hala Stulecia
2017-06-06 02:35:01.677;104;0;1;ul. œw. Antoniego
2017-06-06 02:36:32.397;562;0;0;Renoma
2017-06-06 02:38:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:40:00.040;277;0;0;Nowy Targ
2017-06-06 02:40:01.897;786;0;0;Parking Hala Stulecia
2017-06-06 02:40:01.943;104;0;0;ul. œw. Antoniego
2017-06-06 02:43:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:45:00.010;277;0;0;Nowy Targ
2017-06-06 02:45:01.967;104;0;0;ul. œw. Antoniego
2017-06-06 02:45:02.130;786;0;0;Parking Hala Stulecia
2017-06-06 02:46:32.440;565;0;0;Renoma
2017-06-06 02:48:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:50:00.043;277;0;0;Nowy Targ
2017-06-06 02:50:01.317;786;0;0;Parking Hala Stulecia
2017-06-06 02:50:02.077;104;0;0;ul. œw. Antoniego
2017-06-06 02:53:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 02:55:00.010;277;0;0;Nowy Targ
2017-06-06 02:55:01.527;104;0;0;ul. œw. Antoniego
2017-06-06 02:55:01.757;786;0;0;Parking Hala Stulecia
2017-06-06 02:56:32.490;541;0;0;Renoma
2017-06-06 02:58:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:00:00.050;277;0;0;Nowy Targ
2017-06-06 03:00:01.917;786;0;0;Parking Hala Stulecia
2017-06-06 03:00:01.937;104;0;0;ul. œw. Antoniego
2017-06-06 03:03:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:05:00.010;277;0;0;Nowy Targ
2017-06-06 03:05:01.400;104;0;0;ul. œw. Antoniego
2017-06-06 03:05:01.493;786;0;0;Parking Hala Stulecia
2017-06-06 03:06:32.463;592;0;0;Renoma
2017-06-06 03:08:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:10:00.040;277;0;0;Nowy Targ
2017-06-06 03:10:02.133;104;0;0;ul. œw. Antoniego
2017-06-06 03:10:02.203;786;0;0;Parking Hala Stulecia
2017-06-06 03:13:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:15:00.010;277;0;0;Nowy Targ
2017-06-06 03:15:01.383;104;0;0;ul. œw. Antoniego
2017-06-06 03:15:01.567;786;0;0;Parking Hala Stulecia
2017-06-06 03:16:32.413;575;0;0;Renoma
2017-06-06 03:18:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:20:00.043;277;0;0;Nowy Targ
2017-06-06 03:20:01.713;104;0;0;ul. œw. Antoniego
2017-06-06 03:20:01.913;786;0;0;Parking Hala Stulecia
2017-06-06 03:23:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:25:00.010;277;0;0;Nowy Targ
2017-06-06 03:25:01.230;786;0;0;Parking Hala Stulecia
2017-06-06 03:25:01.260;104;0;0;ul. œw. Antoniego
2017-06-06 03:26:32.537;602;0;0;Renoma
2017-06-06 03:28:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:30:00.043;277;0;0;Nowy Targ
2017-06-06 03:30:01.927;104;0;0;ul. œw. Antoniego
2017-06-06 03:30:01.970;786;0;0;Parking Hala Stulecia
2017-06-06 03:33:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:35:00.010;277;0;0;Nowy Targ
2017-06-06 03:35:01.417;786;0;0;Parking Hala Stulecia
2017-06-06 03:35:01.587;104;0;0;ul. œw. Antoniego
2017-06-06 03:38:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:40:00.043;277;0;0;Nowy Targ
2017-06-06 03:40:01.477;104;0;0;ul. œw. Antoniego
2017-06-06 03:40:02.143;786;0;0;Parking Hala Stulecia
2017-06-06 03:43:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:45:00.010;277;0;0;Nowy Targ
2017-06-06 03:45:01.423;104;0;0;ul. œw. Antoniego
2017-06-06 03:45:01.920;786;0;0;Parking Hala Stulecia
2017-06-06 03:46:32.447;537;0;0;Renoma
2017-06-06 03:48:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:50:00.057;277;0;0;Nowy Targ
2017-06-06 03:50:01.543;786;0;0;Parking Hala Stulecia
2017-06-06 03:50:01.643;104;0;0;ul. œw. Antoniego
2017-06-06 03:53:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 03:55:00.010;277;0;0;Nowy Targ
2017-06-06 03:55:01.317;786;0;0;Parking Hala Stulecia
2017-06-06 03:55:01.630;104;0;0;ul. œw. Antoniego
2017-06-06 03:56:32.497;567;0;0;Renoma
2017-06-06 03:58:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:00:00.043;277;0;0;Nowy Targ
2017-06-06 04:00:01.550;104;0;0;ul. œw. Antoniego
2017-06-06 04:00:02.090;786;0;0;Parking Hala Stulecia
2017-06-06 04:03:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:05:00.010;277;0;0;Nowy Targ
2017-06-06 04:05:01.853;785;1;0;Parking Hala Stulecia
2017-06-06 04:05:01.990;104;0;0;ul. œw. Antoniego
2017-06-06 04:06:32.470;583;0;0;Renoma
2017-06-06 04:08:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:10:00.043;277;0;0;Nowy Targ
2017-06-06 04:10:01.153;104;0;0;ul. œw. Antoniego
2017-06-06 04:10:01.603;786;0;1;Parking Hala Stulecia
2017-06-06 04:13:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:15:00.010;277;0;0;Nowy Targ
2017-06-06 04:15:01.257;786;0;0;Parking Hala Stulecia
2017-06-06 04:15:02.123;104;0;0;ul. œw. Antoniego
2017-06-06 04:16:32.443;541;0;0;Renoma
2017-06-06 04:18:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:20:00.043;277;0;0;Nowy Targ
2017-06-06 04:20:01.637;786;0;0;Parking Hala Stulecia
2017-06-06 04:20:02.020;104;0;0;ul. œw. Antoniego
2017-06-06 04:23:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:25:00.010;277;0;0;Nowy Targ
2017-06-06 04:25:01.410;786;0;0;Parking Hala Stulecia
2017-06-06 04:25:01.790;104;0;0;ul. œw. Antoniego
2017-06-06 04:28:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:30:00.047;277;0;0;Nowy Targ
2017-06-06 04:30:01.277;104;0;0;ul. œw. Antoniego
2017-06-06 04:30:01.937;786;0;0;Parking Hala Stulecia
2017-06-06 04:33:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:35:00.013;278;0;1;Nowy Targ
2017-06-06 04:35:01.850;104;0;0;ul. œw. Antoniego
2017-06-06 04:35:01.903;786;0;0;Parking Hala Stulecia
2017-06-06 04:36:20.837;558;0;0;Renoma
2017-06-06 04:38:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:40:00.033;278;0;0;Nowy Targ
2017-06-06 04:40:01.317;786;0;0;Parking Hala Stulecia
2017-06-06 04:40:01.707;104;0;0;ul. œw. Antoniego
2017-06-06 04:43:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:45:00.013;278;0;0;Nowy Targ
2017-06-06 04:45:01.667;786;0;0;Parking Hala Stulecia
2017-06-06 04:45:01.823;104;0;0;ul. œw. Antoniego
2017-06-06 04:46:20.663;570;0;0;Renoma
2017-06-06 04:48:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:50:00.043;278;0;0;Nowy Targ
2017-06-06 04:50:01.713;104;0;0;ul. œw. Antoniego
2017-06-06 04:50:01.907;786;0;0;Parking Hala Stulecia
2017-06-06 04:53:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 04:55:00.013;278;0;0;Nowy Targ
2017-06-06 04:55:01.750;104;0;0;ul. œw. Antoniego
2017-06-06 04:55:02.177;786;0;0;Parking Hala Stulecia
2017-06-06 04:56:20.283;536;0;0;Renoma
2017-06-06 04:58:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:00:00.033;278;0;0;Nowy Targ
2017-06-06 05:00:01.193;104;0;0;ul. œw. Antoniego
2017-06-06 05:00:01.937;786;0;0;Parking Hala Stulecia
2017-06-06 05:03:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:05:00.010;278;0;0;Nowy Targ
2017-06-06 05:05:01.953;106;0;1;ul. œw. Antoniego
2017-06-06 05:05:02.157;786;0;0;Parking Hala Stulecia
2017-06-06 05:08:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:10:00.043;278;0;0;Nowy Targ
2017-06-06 05:10:01.373;106;0;0;ul. œw. Antoniego
2017-06-06 05:10:01.437;786;0;0;Parking Hala Stulecia
2017-06-06 05:13:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:15:00.010;277;1;0;Nowy Targ
2017-06-06 05:15:01.593;106;0;0;ul. œw. Antoniego
2017-06-06 05:15:01.737;786;0;0;Parking Hala Stulecia
2017-06-06 05:16:19.297;599;0;0;Renoma
2017-06-06 05:18:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:20:00.043;277;0;0;Nowy Targ
2017-06-06 05:20:01.313;786;0;0;Parking Hala Stulecia
2017-06-06 05:20:02.100;106;0;0;ul. œw. Antoniego
2017-06-06 05:23:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:25:00.010;277;0;0;Nowy Targ
2017-06-06 05:25:01.510;106;0;0;ul. œw. Antoniego
2017-06-06 05:25:01.637;786;0;0;Parking Hala Stulecia
2017-06-06 05:28:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:30:00.033;277;0;0;Nowy Targ
2017-06-06 05:30:01.657;106;0;0;ul. œw. Antoniego
2017-06-06 05:30:01.967;786;0;0;Parking Hala Stulecia
2017-06-06 05:33:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:35:00.010;277;0;0;Nowy Targ
2017-06-06 05:35:01.493;786;0;0;Parking Hala Stulecia
2017-06-06 05:35:02.107;106;0;0;ul. œw. Antoniego
2017-06-06 05:36:18.630;585;0;0;Renoma
2017-06-06 05:38:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:40:00.043;276;1;0;Nowy Targ
2017-06-06 05:40:01.687;786;0;0;Parking Hala Stulecia
2017-06-06 05:40:02.030;106;0;0;ul. œw. Antoniego
2017-06-06 05:43:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:45:00.010;276;0;0;Nowy Targ
2017-06-06 05:45:01.627;106;0;0;ul. œw. Antoniego
2017-06-06 05:45:01.687;786;0;0;Parking Hala Stulecia
2017-06-06 05:48:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:50:00.043;277;0;1;Nowy Targ
2017-06-06 05:50:01.993;106;0;0;ul. œw. Antoniego
2017-06-06 05:50:02.013;786;0;0;Parking Hala Stulecia
2017-06-06 05:53:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 05:55:00.010;277;0;0;Nowy Targ
2017-06-06 05:55:01.230;786;0;0;Parking Hala Stulecia
2017-06-06 05:55:01.823;106;0;0;ul. œw. Antoniego
2017-06-06 05:56:17.977;561;0;0;Renoma
2017-06-06 05:58:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 06:00:00.043;277;0;0;Nowy Targ
2017-06-06 06:00:01.447;786;0;0;Parking Hala Stulecia
2017-06-06 06:00:01.730;106;0;1;ul. œw. Antoniego
2017-06-06 06:03:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 06:05:00.010;277;0;0;Nowy Targ
2017-06-06 06:05:01.597;106;0;0;ul. œw. Antoniego
2017-06-06 06:05:01.880;786;0;0;Parking Hala Stulecia
2017-06-06 06:06:17.650;600;0;0;Renoma
2017-06-06 06:08:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 06:10:00.037;277;0;0;Nowy Targ
2017-06-06 06:10:02.000;106;0;0;ul. œw. Antoniego
2017-06-06 06:10:02.053;786;0;0;Parking Hala Stulecia
2017-06-06 06:13:51.000;606;0;0;Narodowe Forum Muzyki
2017-06-06 06:15:00.010;277;0;0;Nowy Targ
2017-06-06 06:15:01.227;106;0;0;ul. œw. Antoniego
2017-06-06 06:15:01.500;786;0;0;Parking Hala Stulecia
